tid	eid	vid	family	type
3529985	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE80
3529987	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE75
3529989	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE70
3529991	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE65
3529993	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE60
3529995	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE55
3529997	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE50
3529999	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE47.5
3530001	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE45
3530003	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE42.5
3530005	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE40
3530007	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE38
3530009	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE36
3530011	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE34
3530013	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE32
3530015	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE30
3530017	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE28
3530019	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE26
3530021	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE24
3530023	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE22
3530025	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE20
3530027	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE18
3530029	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE16
3530031	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE14
3530033	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE12
3530035	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE10
3530037	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN100
3530039	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN95
3530041	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN90
3530043	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN85
3530045	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN80
3530047	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN75
3530049	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN70
3530051	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN65
3530053	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN60
3530055	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN55
3530057	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN50
3530059	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN47.5
3530061	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN45
3530063	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN42.5
3530065	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN40
3530067	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN38
3530069	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN36
3530071	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN34
3530073	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN32
3530075	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN30
3530079	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN26
3530081	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN24
3530083	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN22
3530085	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN20
3530087	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN18
3530089	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN16
3530091	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN14
3530093	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN12
3530095	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIN10
3530626	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB1000
3530628	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB900
3530630	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB800
3530632	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB700
3530634	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB650
3530636	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB600
3530638	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB550
3530640	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB500
3530642	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB450
3530644	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB400
3530646	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB360
3530648	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB340
3530650	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB320
3530652	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB300
3530654	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB280
3530656	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB260
3530658	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB240
3530660	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB220
3530662	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB200
3530664	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB180
3530666	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB160
3530668	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB140
3530670	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB120
3530672	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEB100
3530674	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA1000
3530676	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA900
3530678	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA800
3530680	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA700
3530682	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA650
3530684	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA600
3530686	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA550
3530688	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA500
3530690	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA450
3530692	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA400
3530694	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA360
3530696	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA340
3530698	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA320
3530700	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA300
3530702	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA280
3530704	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA260
3530706	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA240
3530708	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA220
3530710	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA200
3530712	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA180
3530714	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA160
3530716	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA140
3530718	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA120
3530720	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	HEA100
3530722	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE600
3530724	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE550
3530726	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE500
3530728	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE450
3530730	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE400
3530732	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE360
3530734	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE330
